id,anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
10,2018,4,Diciembre,P09-1214242,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 2500,26/12/14,26/12/24,3653,2187,2500000000,0,312500000,119142795.1,431642795.2,1875000000,-312500000,5.75,,5.75
11,2018,4,Diciembre,P09-1215163,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 3,500",30/12/15,26/12/22,2553,1456,3500000000,0,700000000,268178084.9,968178084.8,2800000000,-700000000,TIIE,0.38,TIIE+0.38
12,2018,4,Diciembre,P09-1216082,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-15",30/12/16,26/12/31,5474,4743,3000000000,0,214285714.3,241805000,456090714.3,2785714286,-214285714.3,8.22,,8.22
13,2018,4,Diciembre,P09-1216083,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-7",30/12/16,26/12/23,2552,1821,3000000000,0,500000000,214275833.3,714275833.4,2500000000,-500000000,7.63,,7.63
14,2018,4,Diciembre,P09-1217134,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,378",29/12/17,27/12/32,5477,5110,1378859929,0,91923995.28,111279161.8,203203157.1,1286935934,-91923995.28,TIIE,0.34,TIIE+0.34
15,2018,4,Diciembre,P09-1218140,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-18",31/12/18,26/12/28,3648,3648,3000000000,3000000000,0,0,0,3000000000,3000000000,9.12,,9.12
16,2018,4,Diciembre,233/2007,Largo Plazo,Banca Comercial,HSBC,"HSBC 7,000",07/09/07,25/09/47,14628,10495,7000000000,0,0,602267886.1,602267886.1,7000000000,0,TIIE,0.53,TIIE+0.53
17,2018,4,Diciembre,261/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,459",17/10/07,25/10/40,12062,7969,4459000000,0,31070327.46,359859863,390930190.5,4265863281,-31070327.46,TIIE,0.35,TIIE+0.35
18,2018,4,Diciembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,17/12/07,22/11/27,7280,3248,575000000,0,0,50290138.88,50290138.88,575000000,0,8.65,,8.65
19,2018,4,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,25/09/15,18/09/20,1820,627,1382000000,0,0,112239897.8,114916371.1,1382000000,0,TIIE,0.12,TIIE+0.12
