"","Fecha","Pesos por dólar"
"6078",2008-07-04,10.3722
"6079",2008-07-05,10.3692
"6080",2008-07-06,10.3692
"6081",2008-07-07,10.3692
"6082",2008-07-08,10.3411
"6083",2008-07-09,10.3263
"6084",2008-07-10,10.3363
"6085",2008-07-11,10.2993
"6086",2008-07-12,10.3076
"6087",2008-07-13,10.3076
"6088",2008-07-14,10.3076
"6089",2008-07-15,10.312
"6090",2008-07-16,10.2925
"6091",2008-07-17,10.3229
"6092",2008-07-18,10.2608
"6093",2008-07-19,10.2311
"6094",2008-07-20,10.2311
"6095",2008-07-21,10.2311
"6096",2008-07-22,10.2047
"6097",2008-07-23,10.1708
"6098",2008-07-24,10.1178
"6099",2008-07-25,10.0552
"6100",2008-07-26,10.0264
"6101",2008-07-27,10.0264
"6102",2008-07-28,10.0264
"6103",2008-07-29,10.019
"6104",2008-07-30,10.0706
"6105",2008-07-31,10.061
"6106",2008-08-01,10.034
"6107",2008-08-02,10.0353
"6108",2008-08-03,10.0353
"6109",2008-08-04,10.0353
"6110",2008-08-05,9.9705
"6111",2008-08-06,9.9335
"6112",2008-08-07,9.918
"6113",2008-08-08,9.9485
"6114",2008-08-09,9.9877
"6115",2008-08-10,9.9877
"6116",2008-08-11,9.9877
"6117",2008-08-12,10.1305
"6118",2008-08-13,10.1295
"6119",2008-08-14,10.159
"6120",2008-08-15,10.1968
"6121",2008-08-16,10.1586
"6122",2008-08-17,10.1586
"6123",2008-08-18,10.1586
"6124",2008-08-19,10.1966
"6125",2008-08-20,10.1395
"6126",2008-08-21,10.1867
"6127",2008-08-22,10.1343
"6128",2008-08-23,10.1106
"6129",2008-08-24,10.1106
"6130",2008-08-25,10.1106
"6131",2008-08-26,10.0991
"6132",2008-08-27,10.1183
"6133",2008-08-28,10.173
"6134",2008-08-29,10.1421
"6135",2008-08-30,10.1822
"6136",2008-08-31,10.1822
"6137",2008-09-01,10.1822
"6138",2008-09-02,10.2847
"6139",2008-09-03,10.3423
"6140",2008-09-04,10.3781
"6141",2008-09-05,10.3852
"6142",2008-09-06,10.4658
"6143",2008-09-07,10.4658
"6144",2008-09-08,10.4658
"6145",2008-09-09,10.5143
"6146",2008-09-10,10.481
"6147",2008-09-11,10.5013
"6148",2008-09-12,10.5862
"6149",2008-09-13,10.6745
"6150",2008-09-14,10.6745
"6151",2008-09-15,10.6745
"6152",2008-09-16,10.5828
"6153",2008-09-17,10.5828
"6154",2008-09-18,10.7054
"6155",2008-09-19,10.8702
"6156",2008-09-20,10.8365
"6157",2008-09-21,10.8365
"6158",2008-09-22,10.8365
"6159",2008-09-23,10.6133
"6160",2008-09-24,10.5879
"6161",2008-09-25,10.7264
"6162",2008-09-26,10.7879
"6163",2008-09-27,10.7653
"6164",2008-09-28,10.7653
"6165",2008-09-29,10.7653
"6166",2008-09-30,10.7919
"6167",2008-10-01,10.9397
"6168",2008-10-02,10.9814
"6169",2008-10-03,10.9811
"6170",2008-10-04,11.1296
"6171",2008-10-05,11.1296
"6172",2008-10-06,11.1296
"6173",2008-10-07,11.1188
"6174",2008-10-08,11.7667
"6175",2008-10-09,12.1196
"6176",2008-10-10,13.0417
"6177",2008-10-11,12.4433
"6178",2008-10-12,12.4433
"6179",2008-10-13,12.4433
"6180",2008-10-14,13.0867
"6181",2008-10-15,12.3743
"6182",2008-10-16,12.345
"6183",2008-10-17,12.7192
"6184",2008-10-18,13.0633
"6185",2008-10-19,13.0633
"6186",2008-10-20,13.0633
"6187",2008-10-21,12.8475
"6188",2008-10-22,12.7617
"6189",2008-10-23,13.1233
"6190",2008-10-24,13.5592
"6191",2008-10-25,13.5025
"6192",2008-10-26,13.5025
"6193",2008-10-27,13.5025
"6194",2008-10-28,13.4
"6195",2008-10-29,13.3083
"6196",2008-10-30,13.3692
"6197",2008-10-31,12.9142
"6198",2008-11-01,12.8342
"6199",2008-11-02,12.8342
"6200",2008-11-03,12.8342
"6201",2008-11-04,12.7125
"6202",2008-11-05,12.7875
"6203",2008-11-06,12.4862
"6204",2008-11-07,12.6042
"6205",2008-11-08,12.95
"6206",2008-11-09,12.95
"6207",2008-11-10,12.95
"6208",2008-11-11,12.8392
"6209",2008-11-12,12.785
"6210",2008-11-13,12.9892
"6211",2008-11-14,13.0875
"6212",2008-11-15,13.1663
"6213",2008-11-16,13.1663
"6214",2008-11-17,13.1663
"6215",2008-11-18,13.1663
"6216",2008-11-19,13.0242
"6217",2008-11-20,13.195
"6218",2008-11-21,13.18
"6219",2008-11-22,13.5758
"6220",2008-11-23,13.5758
"6221",2008-11-24,13.5758
"6222",2008-11-25,13.9183
"6223",2008-11-26,13.4958
"6224",2008-11-27,13.3142
"6225",2008-11-28,13.2117
"6226",2008-11-29,13.2325
"6227",2008-11-30,13.2325
"6228",2008-12-01,13.2325
"6229",2008-12-02,13.3225
"6230",2008-12-03,13.58
"6231",2008-12-04,13.53
"6232",2008-12-05,13.5996
"6233",2008-12-06,13.5358
"6234",2008-12-07,13.5358
"6235",2008-12-08,13.5358
"6236",2008-12-09,13.7567
"6237",2008-12-10,13.4597
"6238",2008-12-11,13.4921
"6239",2008-12-12,13.4722
"6240",2008-12-13,13.4722
"6241",2008-12-14,13.4722
"6242",2008-12-15,13.4722
"6243",2008-12-16,13.1821
"6244",2008-12-17,13.3317
"6245",2008-12-18,13.2717
"6246",2008-12-19,13.1275
"6247",2008-12-20,13.215
"6248",2008-12-21,13.215
"6249",2008-12-22,13.215
"6250",2008-12-23,13.1197
"6251",2008-12-24,13.1742
"6252",2008-12-25,13.2175
"6253",2008-12-26,13.2175
"6254",2008-12-27,13.3114
"6255",2008-12-28,13.3114
"6256",2008-12-29,13.3114
"6257",2008-12-30,13.3538
"6258",2008-12-31,13.5383
"6259",2009-01-01,13.7738
"6260",2009-01-02,13.7738
"6261",2009-01-03,13.8325
"6262",2009-01-04,13.8325
"6263",2009-01-05,13.8325
"6264",2009-01-06,13.7678
"6265",2009-01-07,13.5507
"6266",2009-01-08,13.3458
"6267",2009-01-09,13.4136
"6268",2009-01-10,13.5045
"6269",2009-01-11,13.5045
"6270",2009-01-12,13.5045
"6271",2009-01-13,13.7008
"6272",2009-01-14,13.7608
"6273",2009-01-15,13.839
"6274",2009-01-16,14.1083
"6275",2009-01-17,14.2192
"6276",2009-01-18,14.2192
"6277",2009-01-19,14.2192
"6278",2009-01-20,13.9058
"6279",2009-01-21,13.9777
"6280",2009-01-22,13.9382
"6281",2009-01-23,13.9145
"6282",2009-01-24,13.9325
"6283",2009-01-25,13.9325
"6284",2009-01-26,13.9325
"6285",2009-01-27,14.095
"6286",2009-01-28,13.9342
"6287",2009-01-29,14.1675
"6288",2009-01-30,14.1513
"6289",2009-01-31,14.1975
"6290",2009-02-01,14.1975
"6291",2009-02-02,14.1975
"6292",2009-02-03,14.1975
"6293",2009-02-04,14.3097
"6294",2009-02-05,14.5404
"6295",2009-02-06,14.4667
"6296",2009-02-07,14.2945
