Nombre,Rating,Latitud,Longitud,Oferta_1,Precio_1,Oferta_2,Precio_2,Oferta_3,Precio_3
Park Nilo,7.9,19.42712,-99.17129,Booking.com,1666,Expedia,1502,Hoteles.com,1500
Exe Suites Reforma,8.1,19.43047,-99.16319,Booking.com,1058,Destinia,950,Expedia,1048
City Express Plus Satélite,8.2,19.51078,-99.2367,Booking.com,840,Expedia,840,Hoteles.com,840
Stayinn Barefoot Condesa,7.5,19.41673,-99.17849,Booking.com,1679,Agoda,1679,,NA
Maria Barbara,8.2,19.5226,-99.22863,Booking.com,920,Expedia,920,Hoteles.com,920
Hotel Sevilla,7.4,19.4331,-99.16081,Booking.com,459,Expedia,459,Hoteles.com,459
Suites Parioli,8,19.42981,-99.1683,Booking.com,900,Hoteles.com,788,Expedia,789
Casa Condesa Amatlan 84,8.8,19.41181,-99.17554,Booking.com,1159,Agoda,1159,,NA
Hotel Block Suites,8.2,19.42286,-99.16513,Booking.com,879,Expedia,942,Hoteles.com,941
Suites Lerma,7.8,19.42756,-99.171,Expedia,721,Booking.com,720,Destinia,724
& Suites Ferri,7.9,19.46826,-99.11679,Expedia,560,Hoteles.com,560,Agoda,449
Hotel Panorama,8,19.45757,-99.12717,Booking.com,485,Expedia,486,Hoteles.com,485
City Express Plus Mundo E,8.3,19.47051,-99.15638,Booking.com,866,Expedia,867,Hoteles.com,866
El Patio,8.1,19.46278,-99.14486,Booking.com,167,Despegar,293,Expedia,293
Hotel Brasilia,8.5,19.47562,-99.13876,Booking.com,791,Expedia,792,Hoteles.com,791
Hotel Aquario Cdmx - Central Del Norte,6.2,19.47691,-99.14083,Booking.com,452,Expedia,452,Hoteles.com,452
Canada,7.1,19.43428,-99.13596,Booking.com,795,Expedia,796,Hoteles.com,795
Torremoli0s,7.3,19.47382,-99.15884,Booking.com,505,Expedia,503,Despegar,503
Principal,7.6,19.43287,-99.13853,Booking.com,510,Expedia,510,Hoteles.com,510
Posada Alcazar,8.4,19.4365,-99.15236,Booking.com,400,Expedia,546,Destinia,593
City Express CDMX LA Villa,NA,19.46393,-99.12558,PriceTravel,765,,NA,,NA
Hotel Corinto,7,19.43438,-99.15565,Booking.com,538,Expedia,471,Hoteles.com,471
Mina,7.3,19.43975,-99.1493,Booking.com,421,Expedia,422,Agoda,421
Hotel Dos Naciones,7,19.43943,-99.14543,Booking.com,268,Expedia,268,Hoteles.com,268
Downtown Beds,8.3,19.43277,-99.13606,Booking.com,957,Despegar,246,Agoda,946
Collection O Santa Maria,7.4,19.45012,-99.15534,Booking.com,375,Expedia,371,Hoteles.com,371
Piet,NA,19.4601,-99.12701,Booking.com,233,Agoda,233,,NA
New York,7.6,19.4369,-99.1517,Booking.com,523,Expedia,461,Hoteles.com,461
La Rosa,7.9,19.45353,-99.1629,Booking.com,397,Expedia,435,Despegar,435
Gillow,8,19.43409,-99.13629,Booking.com,801,Agoda,801,,NA
Plaza Santo Domingo Loft By Latour S And Resorts,7.6,19.43981,-99.13406,Expedia,1228,Booking.com,1451,Hotelwiz,1469
Ancona,7.5,19.45308,-99.16091,Booking.com,310,Expedia,310,Hoteles.com,310
Astor,8.4,19.43476,-99.16015,Expedia,518,Hoteles.com,517,Destinia,480
El Salvador,7.9,19.43048,-99.14052,Booking.com,502,Expedia,503,Hoteles.com,502
Holiday Inn Express Mexico Basilica,9.2,19.45614,-99.12906,Holiday Inn Express,899,Hotelwiz,894,ZenHotels.com,949
Hotel Maxintimo,7.8,19.42007,-99.14239,Booking.com,507,Expedia,508,Hoteles.com,507
Mexico City Hostel,8.7,19.43564,-99.13392,Booking.com,378,Agoda,378,,NA
Azores,7.7,19.43656,-99.13365,Booking.com,470,Agoda,470,,NA
Hotel San Diego,7.9,19.42894,-99.14564,Booking.com,552,Expedia,553,Hoteles.com,552
Amigo,7.9,19.4307,-99.13665,Booking.com,579,lol.travel,200,Despegar,163
Hotel CostaAzul,8.4,19.42387,-99.1371,Expedia,447,Hoteles.com,446,Trip.com,470
Hotel Estoril,6.5,19.42903,-99.14592,Booking.com,1221,Destinia,743,Expedia,1008
Suites Capri Reforma Angel,7.7,19.43788,-99.146,Booking.com,1400,Expedia,1401,Hoteles.com,1400
Hotel Conde,7.5,19.43031,-99.14656,Booking.com,700,Expedia,700,Despegar,700
"Casa Donceles Apt. 1 Great for Family, Friends & Groups, la mejor ubicación en el centro de la ciudad.",8.9,19.43687,-99.13837,Expedia,1068,Hoteles.com,1066,,NA
Hotel Fleming,8,19.43086,-99.14655,Booking.com,552,Agoda,552,,NA
Hotel Embassy,7.2,19.423,-99.16006,Booking.com,519,Expedia,483,Hoteles.com,482
Niza,5.3,19.42855,-99.13642,Expedia,681,Hoteles.com,680,Hotelwiz,804
Posada Viena,7.9,19.42601,-99.15762,Booking.com,724,Expedia,580,Despegar,587
Hotel Benidorm,7.6,19.41405,-99.15493,Hoteles.com,895,Booking.com,895,Expedia,896
Hostal Virreyes,6.8,19.42685,-99.14117,Booking.com,578,Destinia,856,Agoda,518
Suites Mi Casa,8.1,19.43102,-99.15707,Booking.com,1082,Destinia,1251,Expedia,1348
Fiesta Inn Insurgentes Sur,8.7,19.3644,-99.18286,Hoteles.com,1196,travelclick,1165,Booking.com,1209
Hilton Garden Inn Mexico City Santa Fe,8.5,19.36516,-99.26215,Booking.com,851,Doubletree US,1224,Garden Inn,963
City Express Plus Insurgentes Sur,8.1,19.36459,-99.18221,Booking.com,1033,Expedia,1033,Hoteles.com,1033
AC Hotel Santa Fe,8.7,19.35879,-99.27757,AC Hotels,878,Booking.com,883,Expedia,874
NH Collection Mexico City Santa Fé,8.2,19.36101,-99.27866,NH Collection,922,Booking.com,1036,Hoteles.com,1025
Camino Real Pedregal México,7.9,19.31402,-99.22115,Hoteles.com,1268,Expedia,1268,Booking.com,1405
Royal Pedregal México,8.2,19.30331,-99.20023,Booking.com,1210,Hoteles.com,1210,Expedia,1210
Radisson Paraiso Perisur,8.2,19.30202,-99.18975,Hoteles.com,1317,Expedia,1317,Booking.com,1331
One Ciudad De Mexico Periferico Sur,8.4,19.30285,-99.16563,Booking.com,908,travelclick,871,Expedia,899
Hilton Mexico City Santa Fe,9.1,19.36776,-99.25915,Booking.com,1430,Hilton,1606,Expedia,1414
Fiesta Inn Insurgentes Viaducto,8.4,19.3638,-99.18304,Booking.com,1307,travelclick,1260,Hoteles.com,1293
Holiday Inn Mexico City-Plaza Universidad,8.9,19.36807,-99.16268,Booking.com,1260,Holiday Inn,1260,Expedia,1134
Hyatt House Mexico City/Santa Fe,9.1,19.35809,-99.28307,Booking.com,1144,Expedia,1132,Hoteles.com,1132
Hotel Camino Real Santa Fe,8.2,19.36759,-99.26109,Booking.com,1326,Expedia,1311,Hoteles.com,1311
HauSuites Santa Fe,7.9,19.36388,-99.24643,Booking.com,828,Expedia,828,Hoteles.com,828
NH Mexico City Valle Dorado,8.2,19.54754,-99.21043,NH Hotels,846,Booking.com,951,Expedia,941
InterContinental Presidente Santa Fe Mexico,9,19.35864,-99.27802,InterContinental,1975,Booking.com,1988,Expedia,1967
Hotel El Diplomático,7.3,19.38063,-99.17744,Booking.com,850,Expedia,851,Hoteles.com,851
City Express Gustavo Baz,8.9,19.51277,-99.21735,Booking.com,710,Expedia,710,Hoteles.com,710
Holiday Inn Express Mexico Santa Fe,8.2,19.36426,-99.26514,Booking.com,902,Holiday Inn Express,902,Destinia,855
City Express Tlalpan,8.8,19.36104,-99.14349,Booking.com,922,,NA,,NA
Hotel Manalba,8.2,19.43436,-99.15519,Booking.com,669,Expedia,669,Hoteles.com,668
María del Alma Guest House,9.2,19.35341,-99.16425,Booking.com,1443,Expedia,1589,Hoteles.com,1589
Finca Coyoacan,9.2,19.35398,-99.15826,Booking.com,953,Expedia,1192,Hoteles.com,1192
Casa Jacinta Guest House,9.3,19.35192,-99.16594,Booking.com,1438,Expedia,1917,Hoteles.com,1917
Casa Piedra,8.6,19.34732,-99.17582,PriceTravel,401,,NA,,NA
Pedregal Palace Ciudad de Mexico,7.4,19.3205,-99.22177,Booking.com,877,Hoteles.com,877,Expedia,877
City Express Plus Periferico Sur Tlalpan,8.8,19.28623,-99.14788,Booking.com,1123,Expedia,1123,Trip.com,1200
Casa Moctezuma,9,19.35092,-99.15951,Booking.com,1588,Expedia,1589,Hoteles.com,1589
Stadía Suites Santa Fe,8.8,19.35895,-99.27725,Booking.com,1235,travelclick,1220,Expedia,1235
